<<<<<<< HEAD
Class,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,1.0,1.0,1.0,18.0
Allaple.A,0.9977116704805492,1.0,0.9988545246277205,436.0
Allaple.L,1.0,0.99581589958159,0.9979035639412999,239.0
Alueron.genU,1.0,1.0,1.0,30.0
Autorun.K,0.0,0.0,0.0,14.0
C2LOP.gen!g,0.8709677419354839,0.9,0.8852459016393444,30.0
C2LOP.P,0.8666666666666667,0.5909090909090909,0.7027027027027029,22.0
=======
,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,1.0,1.0,1.0,18.0
Allaple.A,1.0,1.0,1.0,436.0
Allaple.L,1.0,1.0,1.0,239.0
Alueron.genU,1.0,1.0,1.0,30.0
Autorun.K,0.0,0.0,0.0,14.0
C2LOP.gen!g,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
C2LOP.P,0.875,0.9333333333333333,0.9032258064516129,30.0
>>>>>>> 0320eb77585aefd3f33e868fa588b6391ccdb9b4
Dialplatform.B,1.0,1.0,1.0,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,0.967741935483871,1.0,0.9836065573770492,30.0
Instantaccess,1.0,1.0,1.0,65.0
Lolyda.AA1,1.0,1.0,1.0,32.0
<<<<<<< HEAD
Lolyda.AA2,0.9655172413793104,1.0,0.9824561403508771,28.0
=======
Lolyda.AA2,1.0,1.0,1.0,28.0
>>>>>>> 0320eb77585aefd3f33e868fa588b6391ccdb9b4
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,1.0,1.0,1.0,24.0
Malex.gen!J,1.0,0.9523809523809523,0.975609756097561,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,1.0,1.0,1.0,24.0
Skintrim.N,1.0,1.0,1.0,12.0
<<<<<<< HEAD
Swizzor.gen!E,0.46875,0.75,0.5769230769230769,20.0
Swizzor.gen!I,0.3125,0.25,0.2777777777777778,20.0
VB.AT,1.0,0.967741935483871,0.9836065573770492,62.0
Wintrim.BX,1.0,0.9333333333333333,0.9655172413793104,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
accuracy,0.9598108747044918,0.9598108747044918,0.9598108747044918,- 
macro avg,0.8815236220025412,0.8936072484675535,0.8828377816373804,1269.0
weighted avg,0.9555984507168954,0.9598108747044918,0.9557890714297715,1269.0
=======
"Swizzor,gen!E",0.42857142857142855,0.75,0.5454545454545454,20.0
Swizzor.gen!I,0.25,0.1,0.14285714285714288,20.0
VB.AT,1.0,0.9838709677419355,0.991869918699187,62.0
Wintrim.BX,0.9375,1.0,0.967741935483871,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
accuracy,0.9621749408983451,0.9621749408983451,0.9621749408983451,0.9621749408983451
macro avg,0.8771760639739768,0.8960561374109761,0.880813486895699,1269.0
weighted avg,0.9551557582538849,0.9621749408983451,0.9563506424654387,1269.0
>>>>>>> 0320eb77585aefd3f33e868fa588b6391ccdb9b4
