Class,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,0.9473684210526315,1.0,0.972972972972973,18.0
Allaple.A,0.9977116704805492,1.0,0.9988545246277205,436.0
Allaple.L,1.0,0.99581589958159,0.9979035639412999,239.0
Alueron.genU,1.0,1.0,1.0,30.0
Autorun.K,0.0,0.0,0.0,14.0
C2LOP.gen!g,0.875,0.9333333333333333,0.9032258064516129,30.0
C2LOP.P,0.8235294117647058,0.6363636363636364,0.717948717948718,22.0
Dialplatform.B,1.0,1.0,1.0,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,0.967741935483871,1.0,0.9836065573770492,30.0
Instantaccess,1.0,1.0,1.0,65.0
Lolyda.AA1,1.0,0.96875,0.9841269841269841,32.0
Lolyda.AA2,1.0,1.0,1.0,28.0
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,1.0,1.0,1.0,24.0
Malex.gen!J,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,0.96,1.0,0.9795918367346939,24.0
Skintrim.N,1.0,1.0,1.0,12.0
Swizzor.gen!E,0.5384615384615384,0.7,0.608695652173913,20.0
Swizzor.gen!I,0.4,0.3,0.34285714285714286,20.0
VB.AT,1.0,0.9838709677419355,0.991869918699187,62.0
Wintrim.BX,0.9375,1.0,0.967741935483871,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
accuracy,0.9621749408983451,0.9621749408983451,0.9621749408983451, -
macro avg,0.8795171689496759,0.898820591576058,0.8857006922606743,1269.0
weighted avg,0.9551546585369506,0.9621749408983451,0.9572679929264316,1269.0
