<<<<<<< HEAD
Class,precision,recall,f1-score,support
=======
,precision,recall,f1-score,support
>>>>>>> 0320eb77585aefd3f33e868fa588b6391ccdb9b4
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,0.9473684210526315,1.0,0.972972972972973,18.0
Allaple.A,1.0,1.0,1.0,436.0
Allaple.L,1.0,1.0,1.0,239.0
Alueron.genU,1.0,1.0,1.0,30.0
Autorun.K,0.0,0.0,0.0,14.0
<<<<<<< HEAD
C2LOP.gen!g,0.8787878787878788,0.9666666666666667,0.9206349206349207,30.0
C2LOP.P,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
=======
C2LOP.gen!g,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
C2LOP.P,0.8787878787878788,0.9666666666666667,0.9206349206349207,30.0
>>>>>>> 0320eb77585aefd3f33e868fa588b6391ccdb9b4
Dialplatform.B,1.0,0.9629629629629629,0.9811320754716981,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,0.967741935483871,1.0,0.9836065573770492,30.0
Instantaccess,1.0,1.0,1.0,65.0
Lolyda.AA1,1.0,1.0,1.0,32.0
Lolyda.AA2,1.0,1.0,1.0,28.0
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,1.0,1.0,1.0,24.0
Malex.gen!J,1.0,0.9523809523809523,0.975609756097561,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,1.0,1.0,1.0,24.0
Skintrim.N,1.0,1.0,1.0,12.0
<<<<<<< HEAD
Swizzor.gen!E,0.5483870967741935,0.85,0.6666666666666665,20.0
=======
"Swizzor,gen!E",0.5483870967741935,0.85,0.6666666666666665,20.0
>>>>>>> 0320eb77585aefd3f33e868fa588b6391ccdb9b4
Swizzor.gen!I,0.7,0.35,0.4666666666666667,20.0
VB.AT,0.9841269841269841,1.0,0.9919999999999999,62.0
Wintrim.BX,1.0,1.0,1.0,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
<<<<<<< HEAD
accuracy,0.9684791174152876,0.9684791174152876,0.9684791174152876,-
=======
accuracy,0.9684791174152876,0.9684791174152876,0.9684791174152876,0.9684791174152876
>>>>>>> 0320eb77585aefd3f33e868fa588b6391ccdb9b4
macro avg,0.8998800220607872,0.9105531505531504,0.8987704450343617,1269.0
weighted avg,0.9634425622905376,0.9684791174152876,0.9633787920994606,1269.0
