Class,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,1.0,1.0,1.0,18.0
Allaple.A,0.9954337899543378,1.0,0.9977116704805492,436.0
Allaple.L,0.99581589958159,0.99581589958159,0.99581589958159,239.0
Alueron.genU,1.0,1.0,1.0,30.0
Autorun.K,0.0,0.0,0.0,14.0
C2LOP.gen!g,0.8285714285714286,0.9666666666666667,0.8923076923076922,30.0
C2LOP.P,0.8333333333333334,0.45454545454545453,0.5882352941176471,22.0
Dialplatform.B,1.0,0.9629629629629629,0.9811320754716981,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,1.0,1.0,1.0,30.0
Instantaccess,1.0,1.0,1.0,65.0
Lolyda.AA1,1.0,0.9375,0.967741935483871,32.0
Lolyda.AA2,1.0,1.0,1.0,28.0
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,1.0,1.0,1.0,24.0
Malex.gen!J,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,1.0,1.0,1.0,24.0
Skintrim.N,0.9230769230769231,1.0,0.9600000000000001,12.0
Swizzor.gen!E,0.52,0.65,0.5777777777777778,20.0
Swizzor.gen!I,0.3684210526315789,0.35,0.358974358974359,20.0
VB.AT,1.0,0.967741935483871,0.9836065573770492,62.0
Wintrim.BX,0.8823529411764706,1.0,0.9375,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
accuracy,0.9574468085106383,0.9574468085106383,0.9574468085106383,-
macro avg,0.8737732628613688,0.8895045548648599,0.8764710624181004,1269.0
weighted avg,0.9520377161789056,0.9574468085106383,0.9525782910722796,1269.0
