Class,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,1.0,1.0,1.0,18.0
Allaple.A,0.9954233409610984,0.9977064220183486,0.9965635738831615,436.0
Allaple.L,1.0,0.9916317991631799,0.995798319327731,239.0
Alueron.genU,1.0,1.0,1.0,30.0
Autorun.K,0.0,0.0,0.0,14.0
C2LOP.gen!g,0.875,0.9333333333333333,0.9032258064516129,30.0
C2LOP.P,0.7368421052631579,0.6363636363636364,0.6829268292682926,22.0
Dialplatform.B,1.0,0.9629629629629629,0.9811320754716981,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,0.9375,1.0,0.967741935483871,30.0
Instantaccess,1.0,1.0,1.0,65.0
Lolyda.AA1,1.0,1.0,1.0,32.0
Lolyda.AA2,1.0,1.0,1.0,28.0
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,1.0,1.0,1.0,24.0
Malex.gen!J,1.0,0.9523809523809523,0.975609756097561,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,1.0,1.0,1.0,24.0
Skintrim.N,1.0,1.0,1.0,12.0
Swizzor.gen!E,0.46153846153846156,0.6,0.5217391304347826,20.0
Swizzor.gen!I,0.2222222222222222,0.2,0.2105263157894737,20.0
VB.AT,0.9836065573770492,0.967741935483871,0.975609756097561,62.0
Wintrim.BX,1.0,0.9333333333333333,0.9655172413793104,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
accuracy,0.9558707643814027,0.9558707643814027,0.9558707643814027, -
macro avg,0.8720147192591854,0.8870181750015846,0.8766852592170319,1269.0
weighted avg,0.950365349952539,0.9558707643814027,0.9519779331664114,1269.0
