Class,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,0.9473684210526315,1.0,0.972972972972973,18.0
Allaple.A,0.990909090909091,1.0,0.995433789954338,436.0
Allaple.L,1.0,0.9874476987447699,0.9936842105263157,239.0
Alueron.genU,1.0,1.0,1.0,30.0
Autorun.K,0.0,0.0,0.0,14.0
C2LOP.gen!g,0.7894736842105263,1.0,0.8823529411764706,30.0
C2LOP.P,0.8333333333333334,0.45454545454545453,0.5882352941176471,22.0
Dialplatform.B,1.0,1.0,1.0,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,0.967741935483871,1.0,0.9836065573770492,30.0
Instantaccess,1.0,1.0,1.0,65.0
Lolyda.AA1,0.967741935483871,0.9375,0.9523809523809523,32.0
Lolyda.AA2,1.0,1.0,1.0,28.0
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,1.0,1.0,1.0,24.0
Malex.gen!J,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Skintrim.N,1.0,1.0,1.0,12.0
Swizzor.gen!E,0.47619047619047616,0.5,0.4878048780487805,20.0
Swizzor.gen!I,0.2857142857142857,0.3,0.2926829268292683,20.0
VB.AT,1.0,0.967741935483871,0.9836065573770492,62.0
Wintrim.BX,1.0,0.9333333333333333,0.9655172413793104,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
accuracy,0.9527186761229315,0.9527186761229315,0.9527186761229315, -
macro avg,0.8685653079567992,0.8796513083128688,0.8691033981741505,1269.0
weighted avg,0.9473603225266488,0.9527186761229315,0.9478606335414905,1269.0
