Class,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,1.0,1.0,1.0,18.0
Allaple.A,0.9188034188034188,0.9862385321100917,0.9513274336283186,436.0
Allaple.L,0.991701244813278,1.0,0.9958333333333333,239.0
Alueron.genU,1.0,0.9666666666666667,0.9830508474576272,30.0
Autorun.K,0.0,0.0,0.0,14.0
C2LOP.gen!g,0.6444444444444445,0.9666666666666667,0.7733333333333333,30.0
C2LOP.P,0.7,0.6363636363636364,0.6666666666666666,22.0
Dialplatform.B,1.0,1.0,1.0,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,1.0,0.9666666666666667,0.9830508474576272,30.0
Instantaccess,0.8783783783783784,1.0,0.935251798561151,65.0
Lolyda.AA1,0.9354838709677419,0.90625,0.9206349206349206,32.0
Lolyda.AA2,1.0,0.9285714285714286,0.9629629629629629,28.0
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,0.96,1.0,0.9795918367346939,24.0
Malex.gen!J,0.0,0.0,0.0,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,0.9230769230769231,1.0,0.96,24.0
Skintrim.N,1.0,0.3333333333333333,0.5,12.0
Swizzor.gen!E,0.6666666666666666,0.6,0.631578947368421,20.0
Swizzor.gen!I,0.8333333333333334,0.25,0.38461538461538464,20.0
VB.AT,0.9253731343283582,1.0,0.9612403100775194,62.0
Wintrim.BX,1.0,0.06666666666666667,0.125,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
accuracy,0.9196217494089834,0.9196217494089834,0.9196217494089834,-
macro avg,0.8386198683572077,0.7842969438818063,0.778195174542908,1269.0
weighted avg,0.9012687047061599,0.9196217494089834,0.8991395566063223,1269.0
