Class,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,1.0,1.0,1.0,18.0
Allaple.A,0.9731543624161074,0.9977064220183486,0.9852774631936579,436.0
Allaple.L,1.0,1.0,1.0,239.0
Alueron.genU,1.0,0.9666666666666667,0.9830508474576272,30.0
Autorun.K,0.0,0.0,0.0,14.0
C2LOP.gen!g,0.8484848484848485,0.9333333333333333,0.8888888888888888,30.0
C2LOP.P,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0
Dialplatform.B,1.0,1.0,1.0,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,1.0,0.9666666666666667,0.9830508474576272,30.0
Instantaccess,0.9848484848484849,1.0,0.9923664122137404,65.0
Lolyda.AA1,0.9142857142857143,1.0,0.9552238805970149,32.0
Lolyda.AA2,1.0,0.9285714285714286,0.9629629629629629,28.0
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,1.0,0.9583333333333334,0.9787234042553191,24.0
Malex.gen!J,1.0,0.6190476190476191,0.7647058823529411,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,0.96,1.0,0.9795918367346939,24.0
Skintrim.N,1.0,1.0,1.0,12.0
Swizzor.gen!E,0.6071428571428571,0.85,0.7083333333333334,20.0
Swizzor.gen!I,0.5714285714285714,0.2,0.2962962962962963,20.0
VB.AT,0.96875,1.0,0.9841269841269841,62.0
Wintrim.BX,1.0,0.8666666666666667,0.9285714285714286,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
accuracy,0.9574468085106383,0.9574468085106383,0.9574468085106383,-
macro avg,0.8928436814994454,0.886025139997617,0.8806252855766326,1269.0
weighted avg,0.94985464003058,0.9574468085106383,0.950052590254263,1269.0
