Class,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,1.0,1.0,1.0,18.0
Allaple.A,0.9977116704805492,1.0,0.9988545246277205,436.0
Allaple.L,1.0,1.0,1.0,239.0
Alueron.genU,1.0,1.0,1.0,30.0
Autorun.K,1.0,1.0,1.0,14.0
C2LOP.gen!g,0.9090909090909091,1.0,0.9523809523809523,30.0
C2LOP.P,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0
Dialplatform.B,1.0,0.9629629629629629,0.9811320754716981,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,1.0,0.9666666666666667,0.9830508474576272,30.0
Instantaccess,1.0,1.0,1.0,65.0
Lolyda.AA1,0.9411764705882353,1.0,0.9696969696969697,32.0
Lolyda.AA2,1.0,0.9285714285714286,0.9629629629629629,28.0
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,0.96,1.0,0.9795918367346939,24.0
Malex.gen!J,1.0,0.9523809523809523,0.975609756097561,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,1.0,1.0,1.0,24.0
Skintrim.N,1.0,1.0,1.0,12.0
Swizzor.gen!E,0.64,0.8,0.7111111111111111,20.0
Swizzor.gen!I,0.6363636363636364,0.35,0.45161290322580644,20.0
VB.AT,0.9841269841269841,1.0,0.992,62.0
Wintrim.BX,0.9375,1.0,0.967741935483871,15.0
Yuner.A,1.0,1.0,1.0,20.0
accuracy,0.9802994483845547,0.9802994483845547,0.9802994483845547,-
macro avg,0.954784241371467,0.952968734968735,0.9515752895554935,1269.0
weighted avg,0.9795416141877195,0.9802994483845547,0.9789755532249985,1269.0
