Class,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,1.0,1.0,1.0,18.0
Allaple.A,0.9931662870159453,1.0,0.9965714285714286,436.0
Allaple.L,1.0,1.0,1.0,239.0
Alueron.genU,1.0,1.0,1.0,30.0
Autorun.K,0.0,0.0,0.0,14.0
C2LOP.gen!g,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
C2LOP.P,0.875,0.9545454545454546,0.9130434782608695,22.0
Dialplatform.B,1.0,1.0,1.0,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,1.0,0.9666666666666667,0.9830508474576272,30.0
Instantaccess,1.0,1.0,1.0,65.0
Lolyda.AA1,0.9411764705882353,1.0,0.9696969696969697,32.0
Lolyda.AA2,1.0,0.9285714285714286,0.9629629629629629,28.0
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,1.0,1.0,1.0,24.0
Malex.gen!J,1.0,0.9047619047619048,0.95,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,1.0,1.0,1.0,24.0
Skintrim.N,1.0,1.0,1.0,12.0
Swizzor.gen!E,0.5454545454545454,0.9,0.6792452830188679,20.0
Swizzor.gen!I,0.6666666666666666,0.1,0.17391304347826086,20.0
VB.AT,0.9841269841269841,1.0,0.992,62.0
Wintrim.BX,1.0,1.0,1.0,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
accuracy,0.9676910953506698,0.9676910953506698,0.9676910953506698,-
macro avg,0.9011724047575107,0.9088484848484849,0.892481777052755,1269.0
weighted avg,0.9617617552935053,0.9676910953506698,0.9597584415323631,1269.0
