Class,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,1.0,1.0,1.0,18.0
Allaple.A,1.0,1.0,1.0,436.0
Allaple.L,1.0,1.0,1.0,239.0
Alueron.genU,1.0,1.0,1.0,30.0
Autorun.K,0.0,0.0,0.0,14.0
C2LOP.gen!g,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
C2LOP.P,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0
Dialplatform.B,1.0,1.0,1.0,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,1.0,0.9666666666666667,0.9830508474576272,30.0
Instantaccess,1.0,1.0,1.0,65.0
Lolyda.AA1,0.9411764705882353,1.0,0.9696969696969697,32.0
Lolyda.AA2,1.0,0.9285714285714286,0.9629629629629629,28.0
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,1.0,1.0,1.0,24.0
Malex.gen!J,1.0,1.0,1.0,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,1.0,1.0,1.0,24.0
Skintrim.N,1.0,1.0,1.0,12.0
Swizzor.gen!E,0.5806451612903226,0.9,0.7058823529411765,20.0
Swizzor.gen!I,0.625,0.25,0.35714285714285715,20.0
VB.AT,1.0,1.0,1.0,62.0
Wintrim.BX,0.9375,1.0,0.967741935483871,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
accuracy,0.9700551615445232,0.9700551615445232,0.9700551615445232,-
macro avg,0.8988670864240125,0.9150216450216451,0.9000669880877485,1269.0
weighted avg,0.9638473382947321,0.9700551615445232,0.9642244520328469,1269.0
